,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
Referring Domain,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits
tbs-sct.gc.ca,41980,32056,35352,28462,43224,50012,46193,48018,41932,42127,37949,29310,41264,36399,39774,40390,39784,34528,31718,31422,29102,34711,31159,27756
justice.gc.ca,9103,10828,18008,25297,23728,27728,19654,17935,19186,21018,19292,14707,17712,18800,21397,55894,65338,56734,45487,46538,56273,81018,69541,53921
live.com,12595,12629,10884,8732,8319,10398,9956,13861,13779,17578,16486,47315,65032,58420,66030,63300,56613,53517,52357,46919,34230,30687,21756,12843
google.com.ph,3443,5112,6298,4533,4920,5978,9562,12339,11754,11679,12740,38776,56818,58053,61071,52751,45297,46110,53204,50592,51102,52527,53146,35715
search-recherche.gc.ca,6557,6905,7171,5643,6336,6028,6376,6267,6679,7313,7475,6317,9311,8474,15103,81063,76517,67818,61833,62659,70063,75161,79699,51985
canadabenefits.gc.ca,12923,12620,9220,7198,6857,6808,8450,9794,9896,10357,12127,12517,23271,22862,56964,60691,47557,47303,51638,50582,47132,49924,55751,52499
myway.com,9463,10321,11818,10984,10002,8932,13418,18275,18056,19720,20512,25906,37958,37040,51282,59192,45730,39371,46096,39474,36506,39729,33655,30818
ask.com,8847,9585,11726,10784,9892,10017,13681,19485,18913,21218,20255,24680,38260,38322,56349,65845,41278,35140,44022,37514,31149,31539,27211,26060
google.ae,1705,2281,2564,2731,3011,2890,3801,5208,5473,6317,6176,46698,51856,51419,57939,50541,43797,43722,47505,44056,46335,45220,40870,31884
google.com.mx,5969,5364,5864,4458,5078,4787,5391,7420,7190,8304,10177,31969,44234,44591,49629,46753,44383,42536,45074,43463,39032,40221,36753,22999
simpletax.ca,2,1,2,5,1,1,35,55,741,2830,3237,3884,12401,86915,196299,215007,28432,13911,10700,6915,4955,4830,4488,4871
google.com.pk,1439,2107,2156,2401,2601,2329,3473,4554,4610,5253,5486,43269,45688,39190,39748,39723,41908,43619,44332,41194,43735,43007,41444,31743
youtube.com,75,859,4231,992,1489,7496,3315,2191,1985,2399,4920,24054,40557,37270,41374,28831,31694,50982,47053,41363,40610,47877,48360,52375
google.com.br,2290,2809,4119,3749,4952,4529,5232,6553,6306,7157,7873,29511,43150,39007,46557,41920,40626,41691,40585,38786,35735,44129,36836,22826
google.de,3646,4145,4590,4823,4949,5446,7267,9612,9595,10349,11752,31446,41582,40829,47039,41659,36236,37616,38209,36347,31504,30008,29441,22890
duckduckgo.com,5409,6598,8073,7159,7286,6965,11246,15998,16357,18638,18562,22289,29526,27652,38082,45760,33152,30019,31600,30328,28384,32636,32575,32159
rcmp-grc.gc.ca,28803,26256,30989,25046,27513,23197,22205,25659,22919,9803,7694,7670,14038,9517,11988,31746,25134,23094,23505,24776,27693,29794,26465,21749
tc.gc.ca,12632,11501,15838,16114,22588,15144,15547,15351,17127,11644,7009,5436,7314,6750,10220,37195,40882,37995,37469,35426,33448,34685,30931,25151
google.dz,1231,2097,1996,2241,1958,1698,2469,3537,4953,8067,9260,40675,40468,41373,40209,31648,24294,25587,30598,41564,48544,39359,39145,19810
google.com.hk,2100,3027,4169,4120,4129,4185,6560,9884,9283,10701,11649,24005,29969,28381,41779,40217,35098,31738,32718,30503,28908,31765,30760,24700
gouv.qc.ca,6148,7289,6925,5498,5605,5739,6589,9405,9850,8885,10205,20842,34508,30417,39985,30971,27302,25854,26763,34761,35509,31588,27001,24832
indeed.com,45,128,101,12,2979,2617,5507,86702,78448,98063,62615,31194,38493,3201,4766,6625,4801,3993,5317,7257,5318,4953,4609,2826
cbsa-asfc.gc.ca,8804,12211,21905,13831,14237,13745,15122,16207,15280,16471,17226,18844,15096,12276,16094,20695,24234,27447,28074,25527,20997,26428,22688,25439
inspection.gc.ca,2278,6747,6142,6433,5575,5886,5425,6175,9200,12722,9851,8068,10616,10356,12922,32629,36633,32864,33802,30814,32629,39619,44134,32076
google.com.ng,1088,1664,1840,1568,1925,2085,2310,2387,2329,2985,2994,26404,32977,31437,35686,32039,27965,27344,29901,34438,33729,33111,31338,20796
aadnc-aandc.gc.ca,3000,3403,4704,3341,5360,14907,4509,4672,5706,6291,6800,16207,28580,26630,28026,31485,32373,34994,25640,21924,21504,23023,24842,17345
pc.gc.ca,7403,8238,8346,4874,4493,4770,6772,5458,4525,3509,3214,3667,5978,5015,6435,24529,42907,49091,56637,47504,24518,19005,16540,15931
healthycanadians.gc.ca,14349,13735,16397,12995,12015,11308,10826,8722,12921,14824,15965,12636,19451,19778,21674,20493,17057,13159,23549,17651,14476,18399,20553,15083
ec.gc.ca,4011,4843,6212,6118,9611,9852,7685,7904,7935,13371,24292,17091,22419,23968,25234,25162,22832,17248,15694,16473,16787,16662,16309,12211
pch.gc.ca,29815,24952,23153,18884,25078,48189,23339,13518,13650,12320,9873,10063,12317,16754,6447,6213,5881,8141,7341,6498,7583,7832,5954,765
baidu.com,1230,1596,2142,1892,2008,1852,2812,4279,5165,5077,5185,20783,22808,19348,26005,27408,31554,25372,29778,24564,21032,20702,19874,20772
naver.com,477,423,601,761,680,679,522,612,712,676,865,25635,21071,17819,23399,30508,34310,30569,26402,21205,21420,17348,20631,45289
google.co.jp,1088,1419,1751,1881,1997,2438,3506,4482,4479,4753,5165,18376,23275,26607,31139,25843,24889,26035,26912,25734,22038,20581,19768,15812
taxtips.ca,5370,6531,6965,5305,2991,2521,8822,18070,16465,16882,16462,13797,19296,21213,30085,34543,13068,10711,10112,10184,10374,12478,13064,11981
guichetemplois.gc.ca,8961,11079,13340,9189,9067,8135,8635,9661,14878,16014,16195,12123,18503,15151,15881,13285,13287,13736,13458,14199,14638,15517,15659,12187
google.com.sa,946,1352,1653,1622,1706,1248,3228,3476,2885,3780,3772,26238,27981,28558,30771,25484,20648,18768,21023,16919,18437,18307,18335,11265
agr.gc.ca,3977,3756,4379,4497,5558,5727,5718,6404,5920,4458,4846,4386,5062,5234,6254,10412,9472,7789,7529,8453,43697,49879,51404,39446
voyage.gc.ca,4454,4712,4730,3518,4849,6283,7058,7381,7884,7703,7269,9580,16578,14320,14351,15365,15171,15439,23197,21351,20061,21196,21041,22154
google.com.sg,911,1213,1485,1677,1889,1900,2939,4019,3798,4101,4473,17785,20367,19883,24850,23170,20938,20756,21510,19406,18403,19322,18685,14246
phac-aspc.gc.ca,5854,18399,20001,16993,16656,15080,14801,12061,13627,14671,12784,10004,14264,11901,11680,9359,8937,7682,7085,7511,8633,10097,10404,6387
meteo.gc.ca,9307,8583,9169,6302,6907,8372,8711,9759,10882,9339,10134,12138,15661,10107,9201,9899,9050,10855,20853,23788,18699,13831,17168,15669
msn.com,6781,6280,17605,5915,5223,4528,5624,9433,9420,10339,10323,11393,18315,23788,10121,12122,2770,6562,18586,20274,15650,17163,19426,16387
elections.ca,30,95,175,133,114,97,130,161,195,187,170,136,218,221,252,227,255,250,289,214,54505,117235,54938,46897
google.be,1588,2387,2814,2739,3240,3444,3966,6991,7375,9115,9286,15326,18753,18042,21469,17781,17682,16117,14861,16492,14425,15834,17744,12380
instagram.com,73,60,19239,2592,215,1697,2413,451,8720,1323,7387,19938,55803,38448,41379,2783,3069,12886,7017,9022,4665,11318,13695,3760
google.it,1827,2380,2439,2792,2950,2876,4200,4866,5599,6028,5692,14360,17626,17155,19720,17968,18118,18605,20821,17513,16261,16499,15319,10596
google.com.tr,1434,1606,1765,1767,1951,1641,2476,3235,3196,3709,3930,15821,16935,16115,17968,15316,15470,15995,19093,20922,20646,18723,18893,13647
ampproject.org,228,241,471,391,411,3806,2229,2320,2666,4039,4090,6827,12270,15086,22679,20195,12582,14518,17980,16679,16241,25052,27846,22392
gov.on.ca,1443,1933,2219,1648,1424,1616,7012,13938,11833,13406,13755,11134,14711,15200,16031,13177,11612,14730,13941,14968,14079,15284,14133,11104
ecosia.org,2047,3141,4641,3675,3290,2878,4332,5666,6517,7999,9803,10702,14585,14742,19633,19137,14039,12034,12684,11814,13154,17001,17923,15160
dfo-mpo.gc.ca,2158,3981,7604,6489,7528,7354,6658,7167,6437,5318,4953,4291,6452,8734,7908,16426,20245,19516,19086,17446,13408,13791,13049,10198
google.ie,1176,1570,1912,1874,1937,1848,2505,3299,3298,4052,4057,16319,23015,20433,20407,19060,17352,13753,13403,12995,12297,12708,12786,10764
google.co.za,945,1642,1900,2072,2550,2085,2357,4004,3552,3374,3211,9977,13904,13828,19569,17592,16501,14413,15873,19919,17836,16769,14641,10780
google.co.nz,1011,1397,1874,1907,2195,2164,2542,3504,3214,3442,3555,14490,16456,14335,16527,17791,17285,16999,16116,15140,13943,14073,14704,12083
google.es,1492,1999,2376,2115,2495,2451,3119,3637,4187,5157,5486,11145,15628,16626,18146,17607,16310,16565,16944,13938,12644,13100,13778,9779
google.nl,1070,1673,2018,1978,2209,2293,2820,3779,4349,4677,5333,12380,15922,14610,18348,17374,15613,15491,15350,13925,13806,13690,13493,9992
veterans.gc.ca,2109,2383,4800,4736,2552,2904,2888,3199,3185,3815,5100,3490,3421,3043,4136,17332,15674,12996,11398,10745,15076,22868,49137,13607
gov.bc.ca,2335,2768,3843,3648,3659,3654,8375,12666,12074,9593,8190,7363,11768,12379,13717,13787,9499,10157,13962,12055,9242,15213,9637,7659
google.ch,1174,1703,2280,2079,2595,2766,3412,5809,6004,7322,7355,11489,14949,14874,18461,14761,14079,13192,13559,13038,11629,11572,11683,9113
ontario.ca,976,2058,2804,2688,2604,2424,2896,3469,3897,4300,4525,3967,11636,14116,16868,19270,11290,11659,13927,12666,13222,28733,13547,10696
csc-scc.gc.ca,5153,7854,9057,6660,8309,7670,6783,7302,7132,5732,5548,3933,7584,7602,9104,12836,11549,10795,10791,11788,12715,13844,13246,9740
google.co.kr,995,1417,1719,1784,1988,2258,3373,4509,4548,4483,5054,12443,13858,12538,16974,16881,14860,13848,14319,12857,11565,12423,12154,9553
albertacanada.com,535,633,701,1381,1355,1314,1522,1879,1800,1163,1694,13534,18347,13131,14047,12819,13193,29575,20021,16824,15418,15429,5299,4623
google.tn,649,1104,1222,1396,1238,1060,1431,2482,2938,3954,3995,11823,13825,15059,14493,13024,10591,10772,12552,19034,19390,16270,14720,7697
www.cbc.ca,1713,1088,3965,1521,2880,18149,5019,3464,7802,8698,15144,9861,18498,14502,17321,9897,7985,8546,4503,8131,4816,9359,10434,5868
